Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,19.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,19.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,9.00,M,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,8.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,10.00,F,18.00,6
PREPARATORIA,SOCIOLOGIA,9.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,F,18.00,6
PREPARATORIA,DERECHO,10.00,F,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,10.00,F,19.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,F,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,F,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,19.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,F,19.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,F,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,7.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,M,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,7.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,6.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,5.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,5.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_I,5.00,F,18.00,6
