Desc Carrera,Desc Materia,Calif Final,sexo,edad,Grado 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,6,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,5,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,6,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,9,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,10,F,19,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,6,M,18,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,M,18,6 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,7,M,18,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,8,M,18,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,7,M,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,7,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA I,5,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,5,F,19,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,5,F,19,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENC.D/LA SAL.I,5,F,19,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,6,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,19,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,6,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,7,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,6,M,19,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,9,F,19,6 
PREPARATORIA (NVO. PLAN),DERECHO,9,F,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,F,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,9,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,5,M,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,7,M,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,18,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,7,M,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,8,M,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,10,F,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,F,18,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,F,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,6,F,18,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,F,18,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,8,F,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,8,F,18,6 
